Factor,Major Compartment,Celltype2,RGB,hex,Weight,PostUMI,TopGene_pval,TopGene_specific,TopGene_fc,TopGene_weight,Inference_basis
0,Epithelial / Tumor Compartment,Lung Adenocarcinoma / Epithelial Tumor Cells,"(255, 204, 255)",#FFCCFF,0.32055,35585193,"CXCL14, SPINK1, CEACAM5, CEACAM6, NAPSA, IFI6, CTSH, TMSB4X, SLC34A2, LGALS3BP, MDK, LY6E, HSPB1, AQP3, LAPTM4B, ECM1, HPGD, TMSB10, SCGB3A2, SYNGR2","SPINK1, IFI6, CEACAM5, ECM1, NAPSA, WFDC2, SCGB3A2, SPP1, LGALS3BP, IFI27, TFF3, SYNGR2, IFITM3, FTL, S100A10, LY6E, S100A4, MDK, S100A16, AQP3","IGFBPL1, CNTNAP2, ALPG, HMGCS2, IL36RN, NMU, SYT2, PLA2G1B, ECM1, FAM133A, GH2, PLPPR1, CLDN6, PCDHGA1, GABBR2, BAAT, GUCA2A, SPTSSB, APOH, XAGE2","TMSB4X, CD74, CXCL14, SFTPB, TMSB10, ACTB, CEACAM6, SPINK1, B2M, CTSH, IFI6, S100A6, SLC34A2, FTH1, PIGR, HSPB1, CEACAM5, NAPSA, CD9, LGALS3BP","CEACAM5, CEACAM6, NAPSA, SLC34A2, SPINK1, CXCL14, SCGB3A2"
1,Stromal Compartment,Fibroblasts & Smooth Muscle Cells (Stromal / Mesenchymal),"(0, 255, 255)",#00FFFF,0.12293,13646737,"TAGLN, MYL9, MYH11, A2M, ACTA2, MGP, DES, COL3A1, TIMP3, ADAMTS1, COL1A2, SPARC, COL6A2, IGFBP7, DCN, TPM2, MYLK, VIM, CALD1, MFAP4","MYL9, TAGLN, MYH11, ACTA2, RHOB, DES, COL1A1, COL3A1, CSRP1, MGP, TPM2, TIMP3, A2M, ADAMTS1, SPARC, TPM1, DSTN, COL1A2, DUSP1, MYLK","MYH11, DES, ACAN, ACTG2, MYOCD, KCNA5, PLN, SCUBE1, CASQ2, CNN1, LMOD1, ATP1A2, NTRK3, LDB3, FOXC2, JPH2, PRIMA1, HSPB7, C3orf70, SYNPO2","IGKC, TMSB4X, VIM, A2M, IGHG1, CD74, MGP, ACTB, TAGLN, MYL9, B2M, COL3A1, DUSP1, FTH1, COL1A1, TIMP3, ZFP36, JUNB, COL1A2, MYH11","TAGLN, MYL9, MYH11, ACTA2, DES, COL1A1, COL3A1, SPARC, MGP"
2,Epithelial / Tumor Compartment,Lung Epithelial / Tumor Subpopulation,"(255, 255, 0)",#FFFF00,0.09170,10179593,"WSB1, CEACAM5, SLC22A31, RAB11FIP1, LAMA5, CCNL2, MUC1, TCF25, IFI44L, ATP13A4, ELF3, IFI44, IGSF9B, NKX2-1, ZNF117, CHD2, MLPH, MUC4, VMP1, ATP6V1C2","WSB1, SPP1, CCNL2, SLC22A31, CEACAM5, RAB11FIP1, ELF3, LAMA5, VMP1, TCF25, IFI44L, MUC4, MLPH, IFI44, IGHG1, IGKC, CHD2, ZNF117, GLS, IGSF9B","B3GNT6, UMODL1, KSR2, TEX55, ULBP3, NYAP2, TAS2R7, MYOZ2, CD5L, HYAL4, KRTAP1-1, CFAP97D1, ATP5MGL, CSKMT, BNIP5, RASL10A, IL1RAPL2, UFSP1, IFIT1B, CES3","TMSB4X, SFTPB, CD74, WSB1, CEACAM5, CEACAM6, SPP1, MUC1, IGKC, SLC34A2, TMSB10, ACTB, IFI6, CXCL14, RAB11FIP1, B2M, S100A6, HSPB1, NAPSA, SLC22A31","CEACAM5, MUC1, NKX2-1, ELF3, SPP1, SLC34A2, CEACAM6, WSB1"
3,Epithelial / Tumor Compartment,Alveolar Type II (AT2) Cells,"(255, 84, 0)",#FF5400,0.09952,11047807,"SFTPB, LPCAT1, NPC2, NUPR1, CD9, RNASE1, CD74, SDC1, CXCL14, AZGP1, ADGRF5, CTSH, CEACAM6, SLC6A3, SUSD2, KRT8, FABP3, SFTA2, EMP2, APOD","SFTPB, LPCAT1, SFTPC, NPC2, NUPR1, CD74, RNASE1, DUSP1, CD9, CLU, VIM, SDC1, MGP, APOD, LYZ, ADGRF5, SFTPA1, TSPAN8, SLC6A3, FABP3","NPY, KCNJ13, PRAP1, ECEL1, KLB, SORCS2, SYT16, CTSE, SLC6A3, OR52E8, AC008397.1, SFTPB, NGB, CLPSL2, GALNT14, GPR27, IRX1, FGF12, ALKAL1, DLX5","SFTPB, CD74, TMSB4X, LPCAT1, CXCL14, TMSB10, NPC2, CEACAM6, ACTB, CD9, CTSH, RNASE1, B2M, PIGR, S100A6, FTH1, SLC34A2, SPINK1, KRT8, HSPB1","SFTPB, SFTPC, LPCAT1, SFTPA1, NUPR1, ADGRF5, FABP3, NPC2"
4,Immune Compartment,T Cells & B Cells (Lymphocytes),"(0, 255, 84)",#00FF54,0.08326,9243321,"SFTPC, CXCR4, CCL19, IL7R, TRAC, SFTPA1, TRBC2, BTG1, MS4A1, TRBC1, LTB, CD37, ETS1, SELL, RGS1, LYZ, ZFP36L2, CYTIP, IKZF1, WIPF1","SFTPC, CD74, SFTPA1, SFTPB, CXCR4, IL7R, LYZ, TMSB4X, CCL19, TRAC, SCGB3A1, TRBC2, BTG1, CD37, TRBC1, MS4A1, LTB, CD52, RGS1, LAPTM5","WIF1, SPIB, CXCR5, MS4A1, CLEC17A, NIBAN3, SCML4, LGI3, CNR2, AC119396.1, BLK, SFTPC, SHISA8, FCER2, VPREB3, FCRL3, GKN2, TCL1A, NCR3, CCR7","IGKC, IGHG1, TMSB4X, CD74, SFTPC, B2M, IGHA1, ACTB, VIM, TMSB10, CXCR4, FTH1, FTL, SFTPB, LYZ, TXNIP, A2M, C3, MCL1, ZFP36L2","TRAC, TRBC1, TRBC2, IL7R, MS4A1, CD37, CXCR4, LTB"
5,Epithelial / Tumor Compartment,Lung Epithelial / Alveolar Substate,"(84, 0, 255)",#5400FF,0.06486,7200664,"LPCAT1, PGGHG, ATP13A4, BTBD9, ABCC3, WNK1, ERRFI1, NKX2-1, VMP1, SLC6A3, CXCL14, CHD2, CCNL2, TXNDC11, CGN, MROH1, PABPC1L, KIF12, LMO3, ADGRF5","PGGHG, LPCAT1, BTBD9, VMP1, ATP13A4, SAT1, ERRFI1, CCNL2, ABCC3, ZBTB16, MPRIP, CHD2, SLC6A3, WNK1, LUC7L3, TSC22D3, NR4A1, MROH1, KHDC4, TXNDC11","CCDC198, CLPSL1, DNAH17, DGKI, LRRC9, OR52N1, ZNF98, OR52N5, KRT39, CELA1, CLEC18A, C6orf223, ZNF705A, NCBP2L, SLC30A8, NEIL3, RRH, ADAMTS20, ABCC2, SALL4","SFTPB, CXCL14, LPCAT1, TMSB4X, CD74, CTSH, ACTB, MUC1, CD9, SAT1, TMSB10, SLC34A2, WNK1, CEACAM6, SPINK1, KRT8, CLPTM1L, NPC2, VMP1, MCL1","LPCAT1, NKX2-1, ADGRF5, SLC6A3, SFTPB, MUC1, KRT8, CXCL14"
6,Immune Compartment,Macrophages / Monocytes (Myeloid Cells),"(170, 0, 170)",#AA00AA,0.05020,5572388,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ, IFI30, CD68, C1QC, GPNMB, SRGN, C1QA, SLC11A1, FCER1G, APOC1, FTH1, MARCO, C1QB, LAPTM5, OLR1","SPP1, FTL, APOE, CTSB, CHIT1, LYZ, C1QC, CD68, VIM, IFI30, SRGN, C1QA, GPNMB, FCER1G, SLC11A1, C1QB, FTH1, LAPTM5, MARCO, APOC1","MARCO, IL1RN, MMP12, SLC11A1, RBP4, TM4SF19, AQP9, HK3, LILRA6, SPP1, AGRP, HTRA4, HAMP, CHIT1, MCEMP1, ATP6V0D2, KCP, APOC1, CCL7, FCGR1A","SPP1, FTL, CD74, TMSB4X, APOE, CTSB, FTH1, B2M, LYZ, VIM, ACTB, RNASE1, CHIT1, IGKC, TMSB10, SRGN, C1QC, PSAP, SAT1, IFI6","SPP1, APOE, CTSB, CHIT1, LYZ, CD68, C1QA, C1QB, GPNMB, MARCO"
7,Epithelial / Tumor Compartment,"Airway Epithelial Cells (Club, Goblet, and Ciliated cells)","(0, 170, 170)",#00AAAA,0.06386,7089687,"SCGB1A1, SCGB3A1, BPIFB1, MSMB, SLPI, MUC5B, CAPS, WFDC2, TPPP3, C9orf24, TSPAN1, C20orf85, CFAP157, LCN2, MS4A8, MUC5AC, ODF3B, GRP, PIGR, KRT17","SCGB1A1, SCGB3A1, BPIFB1, MSMB, SLPI, MUC5B, CAPS, TPPP3, C9orf24, WFDC2, TSPAN1, C20orf85, ODF3B, LCN2, CFAP157, MS4A8, MUC5AC, GRP, KRT17, RSPH1","MUC5AC, C20orf85, BPIFB1, C9orf24, SCGB1A1, CFAP52, TMEM190, C6orf118, MUC5B, WDR38, CROCC2, CFAP73, CDHR4, CACNG6, CFAP100, TTC29, ALOX15, C11orf88, MSMB, LRRC71","SCGB1A1, SCGB3A1, BPIFB1, WFDC2, PIGR, MSMB, CD74, B2M, SLPI, MUC5B, CAPS, SAT1, SFTPB, S100A6, TPPP3, DUSP1, ODF3B, C9orf24, IGKC, TSPAN1","SCGB1A1, SCGB3A1, BPIFB1, SLPI, MUC5B, CAPS, TPPP3, C9orf24, MUC5AC"
8,Immune Compartment,Plasma Cells (IgG Dominant),"(170, 170, 0)",#AAAA00,0.06630,7360606,"IGKC, IGHG1, IGLC1, IGHM, IGHA1, JCHAIN, TXNDC5, MZB1, ITM2C, CXCR4, IGHG3, PIM2, A2M, XBP1, CD79A, PTGDS, C7, POU2AF1, PDK1, DERL3","IGHG1, IGKC, IGHM, IGLC1, XBP1, TXNDC5, ITM2C, SPP1, CHIT1, MZB1, SSR4, PIM2, PDK1, TP53INP1, COMP, TENT5C, BTG2, CD38, TREM2, DERL3","IGHG1, IGKC, MEI1, IGLC1, MZB1, JSRP1, C2orf88, AMPD1, IGHM, TNFRSF17, FCRL5, POU2AF1, PNOC, MIXL1, FAM30A, DERL3, CD79A, TAS1R3, RAB30, IGHE","IGKC, IGHG1, IGHA1, IGHM, IGLC1, CD74, TMSB4X, JCHAIN, B2M, A2M, TXNIP, FTL, VIM, MGP, FTH1, CXCR4, ACTB, IGHG3, TMSB10, TXNDC5","IGKC, IGHG1, IGLC1, IGHM, IGHA1, JCHAIN, XBP1, MZB1, CD79A"
9,Stromal Compartment,Endothelial Cells,"(255, 0, 127)",#FF007F,0.01302,1445629,"GRP, CDK5R1, NRXN1, LRRD1, TPH1, CLEC4C, ZNF80, SLC25A53, KRT5, CPE, ZNF789, RELN, NTS, EBI3, MMP10, COL9A3, RADX, ALAS2, HBD, HIGD1C","GRP, KRT5, SCGB1A1, TPH1, CHGA, KRT17, CDK5R1, NRXN1, PCSK1N, SEC11C, SCG5, LRRD1, TMEM232, SLC6A5, CHGB, KRT15, MMP10, C6orf163, GP2, ZNF789","SLC25A53, RELN, LRRD1, ZNF80, HCN2, OR4F21, EBF2, HIGD1C, ALAS2, NTS, HBD, CLEC4C, LYPD1, NRXN1, OR4C5, SPO11, CDK5R1, GPR1, DNAH8, LRRTM2","IGKC, IGHG1, TMSB4X, CD74, B2M, ACTB, IGHA1, TXNIP, VIM, TMSB10, FTH1, FTL, OAZ1, CIRBP, SCGB1A1, DUSP1, ZFP36L2, CLU, CXCR4, BTG1","Chosen from constrained list; this factor has weaker endothelial support than classic PECAM1/VWF/CLDN5 and contains GRP/KRT markers, so treat as low-confidence constrained assignment."
10,Immune Compartment,Plasma Cells (IgA Dominant),"(153, 76, 0)",#994C00,0.02282,2532840,"IGKC, IGHA1, JCHAIN, IGHG3, IGLC1, IGHM, TXNDC5, IGHD, IGHG1, DERL3, MZB1, PIM2, A2M, ITM2C, IGLC7, PTGDS, DCN, CD79A, HERPUD1, POU2AF1","IGHA1, IGKC, JCHAIN, IGHG3, IGLC1, TXNDC5, IGHD, SCGB1A1, DERL3, IGLC7, A2M, ITM2C, PIM2, MZB1, HERPUD1, MS4A2, SSR4, MFAP4, SEC11C, TENT5C","IGHA1, IGLC7, IGHG3, JCHAIN, IGHD, IGKC, AMPD1, DERL3, IGHE, TNFRSF17, IGHA2, MZB1, IGLC1, UBE2QL1, TMEM132C, MS4A2, GCSAML, MEI1, BMP6, COL6A5","IGKC, IGHA1, JCHAIN, IGHG1, IGHG3, IGLC1, IGHM, CD74, TMSB4X, B2M, A2M, VIM, TXNDC5, FTL, TXNIP, FTH1, MGP, DCN, PTGDS, TMSB10","IGHA1, IGKC, JCHAIN, IGHG3, IGLC1, TXNDC5, MZB1, DERL3"
11,Immune Compartment,Plasma Cells (IgM Dominant / Highly Active),"(0, 115, 0)",#007300,0.00097,107620,"IGHM, IGKC, JCHAIN, IGHA1, IGLC1, IGHG1, TXNDC5, HERPUD1, PIM2, CD79A, MZB1, XBP1, PRDM1, DERL3, ITM2C, RAB30, SLAMF7, IRF4, BTG2, CXCR4","IGHM, JCHAIN, SPP1, GALM, HERPUD1, RNF170, CENPC, SFRP4, FYTTD1, NKAPD1, FLOT2, RNF168, EIF2AK3, SGPL1, COPG1, NT5DC2, IRF4, FUBP1, YIPF5, PRDX4","IGHM, JCHAIN, IRF4, IGKC, RAB30, TNFRSF17, SLAMF7, CD79A, DERL3, MZB1, IGLC1, P2RX5, TXNDC5, PIM2, POU2AF1, SNAI2, PRDM1, IGHA1, ZBP1, FCRL5","IGHM, IGKC, IGHG1, JCHAIN, IGHA1, B2M, CD74, IGLC1, TMSB4X, TXNDC5, FTL, TXNIP, A2M, VIM, MGP, TMSB10, FTH1, ACTB, XBP1, CXCR4","IGHM, IGKC, JCHAIN, IGHA1, XBP1, PRDM1, IRF4, MZB1, CD79A"
