x0,y0,x1,y1,mean_confidence,foreground_pixels
0,1024,256,1280,0.39003878831863403,10905
0,1280,256,1536,0.4105672836303711,248
512,1280,768,1536,0.4147563576698303,125
256,1280,512,1536,0.4150254726409912,55
256,1024,512,1280,0.4290353059768677,16894
256,768,512,1024,0.43589046597480774,59956
768,1024,902,1280,0.519744873046875,1179
512,1024,768,1280,0.537203848361969,4439
0,768,256,1024,0.6314435601234436,42919
256,512,512,768,0.7042241096496582,60871
512,256,768,512,0.7532365918159485,19215
256,256,512,512,0.7679283618927002,61260
768,768,902,1024,0.7877321243286133,11957
512,768,768,1024,0.7995349168777466,58841
0,512,256,768,0.7998575568199158,55614
256,0,512,256,0.8198414444923401,24057
0,256,256,512,0.8337695002555847,53388
512,512,768,768,0.8720123171806335,52340
768,512,902,768,0.8723611831665039,1171
0,0,256,256,0.8809666633605957,45131
