run,group,backbone,label,loss_variant,strategy,embed512,epochs,best_epoch,best_expr_macroF1,last_expr_macroF1,drop_from_best,first_val_loss,best_val_loss,last_val_loss,loss_delta,status
smoke_gigapath_project_11016891,initial,GigaPath,metric,other,frozen/default,False,1,1,0.1221451913002519,0.1221451913002519,0.0,3.476666748523712,3.476666748523712,3.476666748523712,0.0,NOT useful / collapsed
gigapath_crop128_3class_infonce_only_11028639_5,loss_ablation,GigaPath,3-class,InfoNCE-only,frozen/default,False,4,4,0.3436369289822958,0.3436369289822958,0.0,2.8249935901641847,2.766231189155578,2.944936201477051,0.1199426113128661,NOT useful / collapsed
gigapath_crop128_8class_infonce_only_11028639_11,loss_ablation,GigaPath,8-class,InfoNCE-only,frozen/default,False,4,1,0.1236556680151136,0.0816512270842525,0.0420044409308611,2.749492226600647,2.638538523197174,2.745718488693237,-0.0037737379074100907,NOT useful / collapsed
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,False,4,2,0.3074625078995662,0.2713802509109064,0.0360822569886598,4.68190901222229,4.620266052627564,4.686766373443604,0.0048573612213136386,NOT useful / collapsed
resnet50_crop128_8class_infonce_only_11032366_11,loss_ablation,ResNet50,8-class,InfoNCE-only,frozen/default,False,5,5,0.0569963014768024,0.0569963014768024,0.0,4.721034621429443,4.63398748626709,4.725029098510742,0.00399447708129852,NOT useful / collapsed
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,False,4,2,0.6724369223327278,0.6656720536390893,0.0067648686936384594,1.602238046646118,1.602238046646118,1.8858278604507448,0.2835898138046269,"early-stopped useful, not smooth"
cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973,initial,GigaPath,metric,CE+MSE baseline,frozen/default,False,6,4,0.4366152768388781,0.4279707871696929,0.008644489669185185,2.7345210796356203,2.458901451301575,3.073214363098145,0.3386932834625247,"early-stopped useful, not smooth"
cls_gigapath_crop64_metric_gpu_devel_project_v2_devel_11016957,initial,GigaPath,metric,CE+MSE baseline,frozen/default,False,5,3,0.4368213018425581,0.4343272971797564,0.0024940046628016965,2.5980710933685303,2.379051701164246,2.492150140953064,-0.10592095241546629,"early-stopped useful, not smooth"
gigapath_crop128_3class_embed512_infonce_l005_11037673_0,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.05,frozen/default,True,4,2,0.6827922777176743,0.6643351519855304,0.018457125732143864,1.5596884399414062,1.5596884399414062,2.0213326301574708,0.4616441902160646,"early-stopped useful, not smooth"
gigapath_crop128_3class_infonce_l005_11028639_1,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.05,frozen/default,False,4,2,0.6799412990339476,0.6777565135722886,0.0021847854616590112,1.7301419981002808,1.7301419981002808,1.9523941299438476,0.22225213184356685,"early-stopped useful, not smooth"
gigapath_crop128_3class_embed512_infonce_l010_11037673_1,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.10,frozen/default,True,4,2,0.6862301446766091,0.6784543375547211,0.007775807121888079,1.7138931652069092,1.7138931652069092,2.1683030685424804,0.4544099033355713,"early-stopped useful, not smooth"
gigapath_crop128_3class_infonce_l010_11028639_2,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.10,frozen/default,False,4,2,0.6766361798693569,0.6745881645623615,0.0020480153069953877,1.861579174232483,1.861579174232483,2.0734146224975585,0.2118354482650755,"early-stopped useful, not smooth"
gigapath_crop128_3class_embed512_infonce_l020_11037673_2,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.20,frozen/default,True,4,2,0.6842861034474015,0.6696053142347097,0.01468078921269178,1.9889779190063477,1.9889779190063477,2.4296074378967285,0.4406295188903808,"early-stopped useful, not smooth"
gigapath_crop128_3class_infonce_l020_11028639_3,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.20,frozen/default,False,5,3,0.671841948814972,0.6668671492614983,0.0049747995534736855,2.09965266456604,2.09965266456604,2.389709523010254,0.29005685844421425,"early-stopped useful, not smooth"
gigapath_crop128_3class_infonce_l050_11028639_4,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.50,frozen/default,False,6,4,0.6719153908731405,0.6677076616558945,0.004207729217245992,2.928173941040039,2.928173941040039,3.200904243850708,0.2727303028106691,"early-stopped useful, not smooth"
gigapath_crop128_3class_ce_only_11028639_0,loss_ablation,GigaPath,3-class,CE-only,frozen/default,False,5,3,0.6788562057551691,0.6646245374114649,0.014231668343704262,1.5853983058929444,1.5853983058929444,1.9737270179748536,0.3883287120819092,"early-stopped useful, not smooth"
gigapath_crop128_3class_embed512_ce_only_11037673_3,loss_ablation,GigaPath,3-class,CE-only,frozen/default,True,4,2,0.6799283897874071,0.6682114659442665,0.011716923843140603,1.412705960083008,1.412705960083008,1.9803860998153688,0.5676801397323608,"early-stopped useful, not smooth"
gigapath_crop128_8class_infonce_l005_11028639_7,loss_ablation,GigaPath,8-class,CE+InfoNCE 0.05,frozen/default,False,6,4,0.439213740116696,0.4324738145606877,0.00673992555600833,2.8484052646636964,2.575643000793457,3.1482263332366944,0.29982106857299806,"early-stopped useful, not smooth"
gigapath_crop128_8class_infonce_l010_11028639_8,loss_ablation,GigaPath,8-class,CE+InfoNCE 0.10,frozen/default,False,6,4,0.4459941932778369,0.4302335848990055,0.01576060837883142,3.0174296798706055,2.711725965118408,3.1876497257232668,0.17022004585266126,"early-stopped useful, not smooth"
gigapath_crop128_8class_infonce_l020_11028639_9,loss_ablation,GigaPath,8-class,CE+InfoNCE 0.20,frozen/default,False,6,4,0.4415988091218765,0.4341214809246335,0.007477328197243005,3.328925824737549,2.988897894668579,3.4488389553070067,0.11991313056945785,"early-stopped useful, not smooth"
gigapath_crop128_8class_ce_only_11028639_6,loss_ablation,GigaPath,8-class,CE-only,frozen/default,False,6,4,0.4376815501913333,0.416762614549888,0.020918935641445313,2.7363050678253176,2.457551189804077,3.041827333831787,0.3055222660064696,"early-stopped useful, not smooth"
resnet50_crop128_3class_infonce_l005_11032366_1,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.05,frozen/default,False,5,3,0.6816225954638985,0.6723834628617663,0.00923913260213216,1.9195535442352296,1.9195535442352296,2.0590482421875,0.13949469795227043,"early-stopped useful, not smooth"
resnet50_crop128_3class_infonce_l010_11032366_2,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.10,frozen/default,False,5,3,0.6802389635081543,0.6668618776085129,0.013377085899641372,2.1577859409332274,2.1568538568496702,2.2801412078857424,0.12235526695251497,"early-stopped useful, not smooth"
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,False,5,3,0.679950399584305,0.6597142353700353,0.02023616421426977,2.633880268096924,2.602578298187256,2.739836385726929,0.10595611763000479,"early-stopped useful, not smooth"
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,False,5,3,0.6720885463933296,0.6630323432143994,0.009056203178930189,4.036871408462525,3.953671031951904,4.106827866363526,0.06995645790100102,"early-stopped useful, not smooth"
resnet50_crop128_3class_ce_only_11032366_0,loss_ablation,ResNet50,3-class,CE-only,frozen/default,False,4,2,0.6829743502729504,0.6713032541097806,0.011671096163169747,1.6779403896331788,1.6779403896331788,1.8681949954986572,0.19025460586547838,"early-stopped useful, not smooth"
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,False,8,6,0.4319660472898682,0.4184412755194784,0.013524771770389798,3.4129988800048827,2.752158570098877,2.950546519470215,-0.46245236053466776,"early-stopped useful, not smooth"
gigapath_crop128_3class_frozen_constant_l005_11038859_0,training_strategy,GigaPath,3-class,other,frozen constant,False,4,2,0.6799412990339476,0.6777565135722886,0.0021847854616590112,1.7301419981002808,1.7301419981002808,1.9523941299438476,0.22225213184356685,"early-stopped useful, not smooth"
gigapath_crop128_3class_frozen_warmcos_l005_11038859_1,training_strategy,GigaPath,3-class,other,frozen warmup/cosine,False,4,2,0.6795571128684877,0.6794441885898994,0.00011292427858833332,1.6667278295516967,1.6667278295516967,1.8229888774871823,0.15626104793548556,"early-stopped useful, not smooth"
gigapath_crop128_3class_last1_warmcos_l005_11038859_2,training_strategy,GigaPath,3-class,other,last-1 warmup/cosine,False,5,3,0.6928624847768671,0.6927784237541333,8.406102273372795e-05,1.6667278295516967,1.6630217475891114,1.7069755451202393,0.040247715568542564,"early-stopped useful, not smooth"
gigapath_crop128_3class_last2_warmcos_l005_11038859_3,training_strategy,GigaPath,3-class,other,last-2 warmup/cosine,False,6,4,0.6944746455501392,0.6828697128152245,0.011604932734914697,1.6667278295516967,1.6465788843154907,1.748205617904663,0.08147778835296626,"early-stopped useful, not smooth"
gigapath_crop128_8class_last2_warmcos_l005_11040134,training_strategy,GigaPath,8-class,other,last-2 warmup/cosine,False,7,5,0.4512079063314678,0.4420699074114408,0.00913799892002698,3.104577334213257,2.4386162227630614,2.5091560062408447,-0.5954213279724123,"early-stopped useful, not smooth"
contrastive_resnet50_crop64_rtx6000_project_v2_11016975,initial,ResNet50,metric,other,frozen/default,False,20,20,,,,,,,,looks converged/useful
gigapath_crop128_8class_infonce_l050_11028639_10,loss_ablation,GigaPath,8-class,CE+InfoNCE 0.50,frozen/default,False,8,8,0.4555380835509137,0.4555380835509137,0.0,4.271426902389527,3.8209956329345705,4.160827672195435,-0.1105992301940919,looks converged/useful
resnet50_crop128_8class_infonce_l005_11032366_7,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.05,frozen/default,False,8,7,0.4396862156065366,0.4263056530083371,0.013380562598199475,3.679023204040527,2.9685691535949705,3.1366853481292725,-0.5423378559112546,looks converged/useful
resnet50_crop128_8class_infonce_l010_11032366_8,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.10,frozen/default,False,8,7,0.4407817257531756,0.4306372510272169,0.010144474725958696,3.930703249359131,3.182091052246094,3.309894157791138,-0.6208090915679931,looks converged/useful
resnet50_crop128_8class_infonce_l020_11032366_9,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.20,frozen/default,False,8,7,0.4338246485401088,0.4322950356577006,0.0015296128824082156,4.461627428436279,3.6288640129089353,3.741910498046875,-0.7197169303894042,looks converged/useful
resnet50_crop128_8class_infonce_l050_11032366_10,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.50,frozen/default,False,8,8,0.4206116964844661,0.4206116964844661,0.0,6.073035221862793,5.048848095703125,5.1310360229492185,-0.9419991989135745,looks converged/useful
