run,epoch,train_ce_img,val_ce_img,train_ce_expr,val_ce_expr,train_align,val_align,train_total,val_total
GigaPath crop64 8-class,1,0.412434,1.007480,0.766247,1.584984,0.012277,0.011214,1.184820,2.598071
GigaPath crop64 8-class,2,0.208978,0.848442,0.225427,1.525555,0.009299,0.010109,0.439055,2.379052
GigaPath crop64 8-class,3,0.164329,0.845793,0.114671,1.576342,0.008098,0.009645,0.283049,2.426958
GigaPath crop64 8-class,4,0.143533,0.778573,0.079506,1.630877,0.007474,0.009416,0.226776,2.414159
GigaPath crop64 8-class,5,0.121098,0.689928,0.053346,1.797678,0.007041,0.009089,0.177964,2.492150
GigaPath crop128 8-class,1,0.475705,1.151291,0.768108,1.577312,0.012462,0.011837,1.250044,2.734521
GigaPath crop128 8-class,2,0.267489,0.938794,0.226460,1.514915,0.009547,0.010386,0.498722,2.458901
GigaPath crop128 8-class,3,0.225051,0.929187,0.118164,1.626308,0.008424,0.010192,0.347426,2.560591
GigaPath crop128 8-class,4,0.202293,0.951481,0.079026,1.632106,0.007839,0.009999,0.285238,2.588586
GigaPath crop128 8-class,5,0.185983,0.874536,0.053547,1.865724,0.007421,0.009799,0.243240,2.745159
GigaPath crop128 8-class,6,0.166792,1.102193,0.044352,1.965865,0.007121,0.010312,0.214704,3.073214
GigaPath crop128 3-class,1,0.497827,0.789095,0.502790,0.807136,0.013441,0.012013,1.007338,1.602238
GigaPath crop128 3-class,2,0.397709,0.744724,0.196274,0.962069,0.011733,0.011581,0.599849,1.712584
GigaPath crop128 3-class,3,0.366717,0.626302,0.102534,1.133275,0.011060,0.011007,0.474781,1.765080
GigaPath crop128 3-class,4,0.344452,0.620782,0.057574,1.259645,0.010600,0.010801,0.407326,1.885828
