run,group,backbone,label_set,loss_variant,strategy,epochs_recorded,history_path
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974/history.json
cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973,initial,GigaPath,metric,CE+MSE baseline,frozen/default,6,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973/history.json
cls_gigapath_crop64_metric_gpu_devel_project_v2_devel_11016957,initial,GigaPath,metric,CE+MSE baseline,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/cls_gigapath_crop64_metric_gpu_devel_project_v2_devel_11016957/history.json
contrastive_resnet50_crop64_rtx6000_project_v2_11016975,initial,ResNet50,metric,other,frozen/default,20,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/contrastive_resnet50_crop64_rtx6000_project_v2_11016975/history.json
gigapath_crop128_3class_ce_only_11028639_0,loss_ablation,GigaPath,3-class,CE-only,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_ce_only_11028639_0/history.json
gigapath_crop128_3class_embed512_ce_only_11037673_3,loss_ablation,GigaPath,3-class,CE-only,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_embed512_ce_only_11037673_3/history.json
gigapath_crop128_3class_embed512_infonce_l005_11037673_0,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.05,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_embed512_infonce_l005_11037673_0/history.json
gigapath_crop128_3class_embed512_infonce_l010_11037673_1,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.10,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_embed512_infonce_l010_11037673_1/history.json
gigapath_crop128_3class_embed512_infonce_l020_11037673_2,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.20,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_embed512_infonce_l020_11037673_2/history.json
gigapath_crop128_3class_infonce_l005_11028639_1,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.05,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_infonce_l005_11028639_1/history.json
gigapath_crop128_3class_infonce_l010_11028639_2,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.10,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_infonce_l010_11028639_2/history.json
gigapath_crop128_3class_infonce_l020_11028639_3,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.20,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_infonce_l020_11028639_3/history.json
gigapath_crop128_3class_infonce_l050_11028639_4,loss_ablation,GigaPath,3-class,CE+InfoNCE 0.50,frozen/default,6,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_infonce_l050_11028639_4/history.json
gigapath_crop128_3class_infonce_only_11028639_5,loss_ablation,GigaPath,3-class,InfoNCE-only,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/gigapath_crop128_3class_infonce_only_11028639_5/history.json
